theta,sin_theta,cos_theta,x_dot,theta_dot,action,reward,theta',sin_theta',cos_theta',x_dot',theta_dot'
-5.299479820767737e-07,0.04047359299984075,-0.999180608433572,-0.0002649739910383868,-0.0062918407939260845,2.343048095703125,1.9991806149482727,6.218582478183139e-05,0.04012030771068099,-0.9991948563264326,0.03135788638195408,0.17678624047845481
6.218582478183139e-05,0.04012030771068099,-0.9991948563264326,0.03135788638195408,0.17678624047845481,10.329089164733887,1.999194860458374,0.0003997153713630259,0.038145565883875,-0.9992721930502214,0.16876477329059725,0.988127967739727
0.0003997153713630259,0.038145565883875,-0.9992721930502214,0.16876477329059725,0.988127967739727,4.932641983032227,1.9992721676826477,0.0008407620337994393,0.03556520782976213,-0.9993673578779856,0.22052333121820666,1.2910565185424439
0.0008407620337994393,0.03556520782976213,-0.9993673578779856,0.22052333121820666,1.2910565185424439,2.154392719268799,1.999367356300354,0.0013005450844617793,0.032881746864838184,-0.9994592491558206,0.22989152533117002,1.3425173265653179
0.0013005450844617793,0.032881746864838184,-0.9994592491558206,0.22989152533117002,1.3425173265653179,-3.664569616317749,1.9994592666625977,0.0016191271546719891,0.031044176628068996,-0.999518013393198,0.1592910351051049,0.9192549378103099
0.0016191271546719891,0.031044176628068996,-0.999518013393198,0.1592910351051049,0.9192549378103099,7.002917289733887,1.9995180368423462,0.0020993493404302187,0.02825393672302892,-0.9996007778406593,0.24011109287911475,1.3957340131116602
0.0020993493404302187,0.02825393672302892,-0.9996007778406593,0.24011109287911475,1.3957340131116602,-2.9958138465881348,1.9996007680892944,0.002454784524880614,0.026211276044197027,-0.9996564254823429,0.17771759222519767,1.021709445220731
0.002454784524880614,0.026211276044197027,-0.9996564254823429,0.17771759222519767,1.021709445220731,18.805103302001953,1.9996564388275146,0.003289753254134938,0.021326268066699555,-0.9997725692828081,0.4174843646271621,2.4431966678506445
0.003289753254134938,0.021326268066699555,-0.9997725692828081,0.4174843646271621,2.4431966678506445,22.25581169128418,1.999772548675537,0.004655405300356442,0.013292795070213942,-0.9999116468964752,0.6828260231107517,4.017349196328679
0.004655405300356442,0.013292795070213942,-0.9999116468964752,0.6828260231107517,4.017349196328679,-5.594807147979736,1.9999116659164429,0.005746593799272746,0.006892902975518148,-0.9999762436621032,0.5455942494581519,3.2001145056010927
0.005746593799272746,0.006892902975518148,-0.9999762436621032,0.5455942494581519,3.2001145056010927,14.002801895141602,1.9999762177467346,0.007121214555065121,-0.001190030903159357,-0.9999992919129741,0.6873103778961879,4.0414943717277385
0.007121214555065121,-0.001190030903159357,-0.9999992919129741,0.6873103778961879,4.0414943717277385,1.3869560956954956,1.9999992847442627,0.008410691690854292,-0.008766900719818982,-0.9999615699874514,0.6447385678945853,3.788490920769494
0.008410691690854292,-0.008766900719818982,-0.9999615699874514,0.6447385678945853,3.788490920769494,3.266139030456543,1.9999615550041199,0.009673853345487503,-0.016188715157320916,-0.999868954164272,0.6315808273166055,3.7112046616898375
0.009673853345487503,-0.016188715157320916,-0.999868954164272,0.6315808273166055,3.7112046616898375,20.428638458251953,1.999868929386139,0.011380145847088364,-0.02624580056214931,-0.9996555196430678,0.8531462508004307,5.029696174716491
0.011380145847088364,-0.02624580056214931,-0.9996555196430678,0.8531462508004307,5.029696174716491,-20.590269088745117,1.999655544757843,0.012373904013057454,-0.03207502394266744,-0.9994854640459147,0.496879082984545,2.915855813888202
0.012373904013057454,-0.03207502394266744,-0.9994854640459147,0.496879082984545,2.915855813888202,-19.817792892456055,1.9994854927062988,0.012740070910158323,-0.03418469847442365,-0.9994155323939151,0.18308344855043432,1.055416827640876
0.012740070910158323,-0.03418469847442365,-0.9994155323939151,0.18308344855043432,1.055416827640876,-23.029516220092773,1.9994155168533325,0.012447475568724033,-0.032391350345201034,-0.9994752625367045,-0.1462976707171451,-0.8971713975598483
0.012447475568724033,-0.032391350345201034,-0.9994752625367045,-0.1462976707171451,-0.8971713975598483,15.965752601623535,1.9994752407073975,0.012615786619217166,-0.03334207569026047,-0.9994439984254571,0.08415552524656654,0.47561964704501136
0.012615786619217166,-0.03334207569026047,-0.9994439984254571,0.08415552524656654,0.47561964704501136,13.351524353027344,1.9994440078735352,0.01313270178925318,-0.03637001107712173,-0.9993383922847405,0.25845758501800725,1.5148888066436328
0.01313270178925318,-0.03637001107712173,-0.9993383922847405,0.25845758501800725,1.5148888066436328,17.760583877563477,1.9993383884429932,0.014086999901766852,-0.04200172982827784,-0.9991175379761044,0.4771490562568356,2.818027537254464
0.014086999901766852,-0.04200172982827784,-0.9991175379761044,0.4771490562568356,2.818027537254464,22.97368049621582,1.9991175532341003,0.015581337047578076,-0.05084475571424779,-0.9987065689262079,0.7471685729056121,4.426299644753273
0.015581337047578076,-0.05084475571424779,-0.9987065689262079,0.7471685729056121,4.426299644753273,14.359611511230469,1.998706579208374,0.01733307111186361,-0.06122045617864468,-0.9981242686886631,0.8758670321427674,5.196037086177663
0.01733307111186361,-0.06122045617864468,-0.9981242686886631,0.8758670321427674,5.196037086177663,-1.848990559577942,1.9981242418289185,0.01887855933823958,-0.07038304790927863,-0.9975200381781812,0.7727441131879839,4.591262740295976
0.01887855933823958,-0.07038304790927863,-0.9975200381781812,0.7727441131879839,4.591262740295976,13.465400695800781,1.9975200295448303,0.020652525558669036,-0.08090603959986772,-0.9967217328604131,0.8869831102147289,5.2766390613325775
