dev:  cuda OrderedDict([('run_id', '0'), ('env', 'CartpoleStabShort-v0'), ('steps', '1000000'), ('batch_size', '2024'), ('buffer_size', '100000'), ('warmup_samples', '50000'), ('actor_lr', '0.0001'), ('critic_lr', '0.0001'), ('actor_hidden_layers', '[100,100,50]'), ('critic_hidden_layers', '[100,100]'), ('tau', '0.01'), ('noise_decay', '0.99'), ('', '')])
1000000 50000 100000 2024 0.0001 0.0001 0.99 0.01 [100, 100, 50] [100, 100]
tensor([-5.], device='cuda:0') tensor([5.], device='cuda:0')
Training started...
8388 /1000000 | 503 /0 | 8388 /100000 | alr,clr: 1.00E-04 1.00E-04 | bs: 2024
8630 /1000000 | 483 /0 | 8630 /100000 | alr,clr: 1.00E-04 1.00E-04 | bs: 2024
8752 /1000000 | 243 /0 | 8752 /100000 | alr,clr: 1.00E-04 1.00E-04 | bs: 2024
8936 /1000000 | 367 /0 | 8936 /100000 | alr,clr: 1.00E-04 1.00E-04 | bs: 2024
9270 /1000000 | 667 /0 | 9270 /100000 | alr,clr: 1.00E-04 1.00E-04 | bs: 2024
9534 /1000000 | 527 /0 | 9534 /100000 | alr,clr: 1.00E-04 1.00E-04 | bs: 2024
9675 /1000000 | 281 /0 | 9675 /100000 | alr,clr: 1.00E-04 1.00E-04 | bs: 2024
9795 /1000000 | 239 /0 | 9795 /100000 | alr,clr: 1.00E-04 1.00E-04 | bs: 2024
9939 /1000000 | 287 /0 | 9939 /100000 | alr,clr: 1.00E-04 1.00E-04 | bs: 2024
10016 /1000000 | 153 /0 | 10016 /100000 | alr,clr: 1.00E-04 1.00E-04 | bs: 2024
10143 /1000000 | 253 /0 | 10143 /100000 | alr,clr: 1.00E-04 1.00E-04 | bs: 2024
10281 /1000000 | 275 /0 | 10281 /100000 | alr,clr: 1.00E-04 1.00E-04 | bs: 2024
10354 /1000000 | 145 /0 | 10354 /100000 | alr,clr: 1.00E-04 1.00E-04 | bs: 2024
10424 /1000000 | 139 /0 | 10424 /100000 | alr,clr: 1.00E-04 1.00E-04 | bs: 2024
10821 /1000000 | 793 /0 | 10821 /100000 | alr,clr: 1.00E-04 1.00E-04 | bs: 2024
10968 /1000000 | 293 /0 | 10968 /100000 | alr,clr: 1.00E-04 1.00E-04 | bs: 2024
11163 /1000000 | 389 /0 | 11163 /100000 | alr,clr: 1.00E-04 1.00E-04 | bs: 2024
11302 /1000000 | 277 /0 | 11302 /100000 | alr,clr: 1.00E-04 1.00E-04 | bs: 2024
11459 /1000000 | 313 /0 | 11459 /100000 | alr,clr: 1.00E-04 1.00E-04 | bs: 2024
11604 /1000000 | 289 /0 | 11604 /100000 | alr,clr: 1.00E-04 1.00E-04 | bs: 2024
11757 /1000000 | 305 /0 | 11757 /100000 | alr,clr: 1.00E-04 1.00E-04 | bs: 2024
11849 /1000000 | 183 /0 | 11849 /100000 | alr,clr: 1.00E-04 1.00E-04 | bs: 2024
12083 /1000000 | 467 /0 | 12083 /100000 | alr,clr: 1.00E-04 1.00E-04 | bs: 2024
12178 /1000000 | 189 /0 | 12178 /100000 | alr,clr: 1.00E-04 1.00E-04 | bs: 2024
12315 /1000000 | 273 /0 | 12315 /100000 | alr,clr: 1.00E-04 1.00E-04 | bs: 2024
12454 /1000000 | 277 /0 | 12454 /100000 | alr,clr: 1.00E-04 1.00E-04 | bs: 2024
12608 /1000000 | 307 /0 | 12608 /100000 | alr,clr: 1.00E-04 1.00E-04 | bs: 2024
12873 /1000000 | 529 /0 | 12873 /100000 | alr,clr: 1.00E-04 1.00E-04 | bs: 2024
13056 /1000000 | 365 /0 | 13056 /100000 | alr,clr: 1.00E-04 1.00E-04 | bs: 2024
13202 /1000000 | 291 /0 | 13202 /100000 | alr,clr: 1.00E-04 1.00E-04 | bs: 2024
13335 /1000000 | 265 /0 | 13335 /100000 | alr,clr: 1.00E-04 1.00E-04 | bs: 2024
13462 /1000000 | 253 /0 | 13462 /100000 | alr,clr: 1.00E-04 1.00E-04 | bs: 2024
13657 /1000000 | 389 /0 | 13657 /100000 | alr,clr: 1.00E-04 1.00E-04 | bs: 2024
